G1,G2,K,Algo,FROB,FROB1,FROB2,FROB3,FROB4,FROB5,HR,HR1,HR2,HR3,HR4,HR5,TIME,CRP,CRP1,CRP2,CRP3,CRP4,CRP5,trial,local_g1,local_g2,local_g1_1,local_g2_1,local_g1_2,local_g2_2,local_g1_3,local_g2_3,local_g1_4,local_g2_4,local_g1_5,local_g2_5,initialization,p_more,p_remove_g1,p_remove_g2
football,malaria,69,Alpine++,4.898979485566356,0,0,0,0,0,114,0,0,0,0,0,59.84709715843201,62,0,0,0,0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,uniform,0.0,0.5,0.5
football,malaria,69,Martian,0.0,0,0,0,0,0,114,0,0,0,0,0,70.39716386795044,69,0,0,0,0,0,0,69,69,0,0,0,0,0,0,0,0,0,0,uniform,0.0,0.5,0.5
football,malaria,69,Alpine,5.0990195135927845,0,0,0,0,0,114,0,0,0,0,0,20.615445137023926,60,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,uniform,0.0,0.7,0.7
football,malaria,69,Alpine++,5.0990195135927845,0,0,0,0,0,114,0,0,0,0,0,71.06033229827881,59,0,0,0,0,0,0,59,59,0,0,0,0,0,0,0,0,0,0,uniform,0.0,0.7,0.7
football,malaria,69,Martian,0.0,0,0,0,0,0,114,0,0,0,0,0,74.96561694145203,68,0,0,0,0,0,0,68,68,0,0,0,0,0,0,0,0,0,0,uniform,0.0,0.7,0.7
football,malaria,69,Alpine,14.696938456699069,0,0,0,0,0,114,0,0,0,0,0,11.67992377281189,5,0,0,0,0,0,0,22,42,0,0,0,0,0,0,0,0,0,0,uniform,-0.1,0.0,0.0
football,malaria,69,Alpine++,19.44222209522358,0,0,0,0,0,-1,0,0,0,0,0,40.34146499633789,11,0,0,0,0,0,0,36,40,0,0,0,0,0,0,0,0,0,0,uniform,-0.1,0.0,0.0
football,malaria,69,Martian,19.026297590440446,0,0,0,0,0,114,0,0,0,0,0,53.20675754547119,2,0,0,0,0,0,0,29,43,0,0,0,0,0,0,0,0,0,0,uniform,-0.1,0.0,0.0
football,malaria,69,Alpine,6.164414002968976,0,0,0,0,0,114,0,0,0,0,0,12.133965253829956,63,0,0,0,0,0,0,63,65,0,0,0,0,0,0,0,0,0,0,uniform,-0.1,0.1,0.1
football,malaria,69,Alpine++,6.6332495807108,0,0,0,0,0,114,0,0,0,0,0,46.045668840408325,63,0,0,0,0,0,0,63,64,0,0,0,0,0,0,0,0,0,0,uniform,-0.1,0.1,0.1
football,malaria,69,Martian,16.911534525287763,0,0,0,0,0,114,0,0,0,0,0,50.23482012748718,0,0,0,0,0,0,0,30,41,0,0,0,0,0,0,0,0,0,0,uniform,-0.1,0.1,0.1
football,malaria,69,Alpine,4.242640687119285,0,0,0,0,0,114,0,0,0,0,0,12.981740236282349,62,0,0,0,0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,uniform,-0.1,0.3,0.3
football,malaria,69,Alpine++,4.898979485566356,0,0,0,0,0,114,0,0,0,0,0,48.92849826812744,62,0,0,0,0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,uniform,-0.1,0.3,0.3
football,malaria,69,Martian,2.8284271247461903,0,0,0,0,0,114,0,0,0,0,0,71.76509523391724,67,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0,0,uniform,-0.1,0.3,0.3
football,malaria,69,Alpine,5.656854249492381,0,0,0,0,0,110,0,0,0,0,0,20.241633415222168,62,0,0,0,0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,uniform,-0.1,0.5,0.5
football,malaria,69,Alpine++,4.898979485566356,0,0,0,0,0,114,0,0,0,0,0,56.14920401573181,63,0,0,0,0,0,0,63,63,0,0,0,0,0,0,0,0,0,0,uniform,-0.1,0.5,0.5
football,malaria,69,Martian,2.8284271247461903,0,0,0,0,0,114,0,0,0,0,0,69.67568898200989,68,0,0,0,0,0,0,68,68,0,0,0,0,0,0,0,0,0,0,uniform,-0.1,0.5,0.5
football,malaria,69,Alpine,3.7416573867739413,0,0,0,0,0,114,0,0,0,0,0,17.219481945037842,62,0,0,0,0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,uniform,-0.1,0.7,0.7
football,malaria,69,Alpine++,3.7416573867739413,0,0,0,0,0,114,0,0,0,0,0,66.82849216461182,63,0,0,0,0,0,0,63,63,0,0,0,0,0,0,0,0,0,0,uniform,-0.1,0.7,0.7
football,malaria,69,Martian,0.0,0,0,0,0,0,114,0,0,0,0,0,72.83881402015686,67,0,0,0,0,0,0,67,67,0,0,0,0,0,0,0,0,0,0,uniform,-0.1,0.7,0.7
football,malaria,69,Alpine,14.696938456699069,0,0,0,0,0,114,0,0,0,0,0,11.617033958435059,5,0,0,0,0,0,0,22,42,0,0,0,0,0,0,0,0,0,0,uniform,-0.3,0.0,0.0
